year,geography,count-fatalities,source,population,per-capita,per-million
2000,United States,861,FE,282162411,3.051E-06,3.051
2000,United States,619,FE_NV,282162411,2.194E-06,2.194
2001,United States,923,FE,284968955,3.239E-06,3.239
2001,United States,719,FE_NV,284968955,2.523E-06,2.523
2002,United States,986,FE,287625193,3.428E-06,3.428
2002,United States,750,FE_NV,287625193,2.608E-06,2.608
2003,United States,1056,FE,290107933,3.640E-06,3.640
2003,United States,818,FE_NV,290107933,2.820E-06,2.820
2004,United States,1037,FE,292805298,3.542E-06,3.542
2004,United States,854,FE_NV,292805298,2.917E-06,2.917
2005,United States,1169,FE,295516599,3.956E-06,3.956
2005,United States,953,FE_NV,295516599,3.225E-06,3.225
2006,United States,1270,FE,298379912,4.256E-06,4.256
2006,United States,1019,FE_NV,298379912,3.415E-06,3.415
2007,United States,1255,FE,301231207,4.166E-06,4.166
2007,United States,997,FE_NV,301231207,3.310E-06,3.310
2008,United States,1211,FE,304093966,3.982E-06,3.982
2008,United States,964,FE_NV,304093966,3.170E-06,3.170
2009,United States,1259,FE,306771529,4.104E-06,4.104
2009,United States,1002,FE_NV,306771529,3.266E-06,3.266
2010,United States,1295,FE,309327143,4.187E-06,4.187
2010,United States,1065,FE_NV,309327143,3.443E-06,3.443
2011,United States,1408,FE,311583481,4.519E-06,4.519
2011,United States,1203,FE_NV,311583481,3.861E-06,3.861
2012,United States,1486,FE,313877662,4.734E-06,4.734
2012,United States,1241,FE_NV,313877662,3.954E-06,3.954
2013,United States,1089,MPV,316059947,3.446E-06,3.446
2013,United States,1788,FE,316059947,5.657E-06,5.657
2013,United States,1321,FE_NV,316059947,4.180E-06,4.180
2014,United States,1050,MPV,318386329,3.298E-06,3.298
2014,United States,1714,FE,318386329,5.383E-06,5.383
2014,United States,1221,FE_NV,318386329,3.835E-06,3.835
2015,United States,994,WaPo,320738994,3.099E-06,3.099
2015,United States,1146,Guardian,320738994,3.573E-06,3.573
2015,United States,1102,MPV,320738994,3.436E-06,3.436
2015,United States,1611,FE,320738994,5.023E-06,5.023
2015,United States,1331,FE_NV,320738994,4.150E-06,4.150
2016,United States,961,WaPo,323071755,2.975E-06,2.975
2016,United States,1093,Guardian,323071755,3.383E-06,3.383
2016,United States,1070,MPV,323071755,3.312E-06,3.312
2016,United States,1598,FE,323071755,4.946E-06,4.946
2016,United States,1387,FE_NV,323071755,4.293E-06,4.293
2017,United States,986,WaPo,325122128,3.033E-06,3.033
2017,United States,1091,MPV,325122128,3.356E-06,3.356
2017,United States,1767,FE,325122128,5.435E-06,5.435
2017,United States,1394,FE_NV,325122128,4.288E-06,4.288
2018,United States,990,WaPo,326838199,3.029E-06,3.029
2018,United States,1145,MPV,326838199,3.503E-06,3.503
2018,United States,1857,FE,326838199,5.682E-06,5.682
2018,United States,1480,FE_NV,326838199,4.528E-06,4.528
2019,United States,999,WaPo,328329953,3.043E-06,3.043
2019,United States,1096,MPV,328329953,3.338E-06,3.338
2019,United States,1816,FE,328329953,5.531E-06,5.531
2019,United States,1450,FE_NV,328329953,4.416E-06,4.416
2020,United States,1000,WaPo,329484123,3.035E-06,3.035
2020,United States,1061,MPV,329484123,3.220E-06,3.220
2020,United States,2049,FE,329484123,6.219E-06,6.219
2020,United States,1532,FE_NV,329484123,4.650E-06,4.650